customer_id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency
5524,1957,graduation,single,58138.0,0,0,04-09-2012,58
2174,1954,graduation,single,46344.0,1,1,08-03-2014,38
4141,1965,graduation,together,71613.0,0,0,21-08-2013,26
6182,1984,graduation,together,26646.0,1,0,10-02-2014,26
5324,1981,phd,married,58293.0,1,0,19-01-2014,94
7446,1967,master,together,62513.0,0,1,09-09-2013,16
965,1971,graduation,divorced,55635.0,0,1,13-11-2012,34
6177,1985,phd,married,33454.0,1,0,08-05-2013,32
4855,1974,phd,together,30351.0,1,0,06-06-2013,19
5899,1950,phd,together,5648.0,1,1,13-03-2014,68
1994,1983,graduation,married,47883.440288418205,1,0,15-11-2013,11
387,1976,basic,married,7500.0,0,0,13-11-2012,59
2125,1959,graduation,divorced,63033.0,0,0,15-11-2013,82
8180,1952,master,divorced,59354.0,1,1,15-11-2013,53
2569,1987,graduation,married,17323.0,0,0,10-10-2012,38
2114,1946,phd,single,82800.0,0,0,24-11-2012,23
9736,1980,graduation,married,41850.0,1,1,24-12-2012,51
4939,1946,graduation,together,37760.0,0,0,31-08-2012,20
6565,1949,master,married,76995.0,0,1,28-03-2013,91
9360,1982,graduation,married,37040.0,0,0,08-08-2012,41
5376,1979,graduation,married,2447.0,1,0,06-01-2013,42
1993,1949,phd,married,58607.0,0,1,23-12-2012,63
4047,1954,phd,married,65324.0,0,1,11-01-2014,0
1409,1951,graduation,together,40689.0,0,1,18-03-2013,69
7892,1969,graduation,single,18589.0,0,0,02-01-2013,89
2404,1976,graduation,married,53359.0,1,1,27-05-2013,4
5255,1986,graduation,single,47883.440288418205,1,0,20-02-2013,19
9422,1989,graduation,married,38360.0,1,0,31-05-2013,26
1966,1965,phd,married,84618.0,0,0,22-11-2013,96
6864,1989,master,divorced,10979.0,0,0,22-05-2014,34
3033,1963,master,together,38620.0,0,0,11-05-2013,56
5710,1970,graduation,together,40548.0,0,1,10-10-2012,31
7373,1952,phd,divorced,46610.0,0,2,29-10-2012,8
8755,1946,master,married,68657.0,0,0,20-02-2013,4
10738,1951,master,single,49389.0,1,1,29-08-2013,55
4339,1970,phd,married,67353.0,0,1,31-12-2013,37
8595,1973,graduation,widow,42429.0,0,1,11-02-2014,99
2968,1943,phd,divorced,48948.0,0,0,01-02-2013,53
8601,1980,graduation,married,80011.0,0,1,29-04-2013,3
503,1985,master,married,20559.0,1,0,12-03-2013,88
8430,1957,graduation,together,21994.0,0,1,24-12-2012,4
7281,1959,phd,single,47883.440288418205,0,0,05-11-2013,80
2139,1975,master,married,7500.0,1,0,02-10-2013,19
1371,1976,graduation,single,79941.0,0,0,28-06-2014,72
7286,1968,graduation,together,41728.0,1,0,24-05-2013,92
7244,1951,graduation,single,47883.440288418205,2,1,01-01-2014,96
6566,1954,phd,married,72550.0,1,1,08-11-2012,39
8614,1957,graduation,widow,65486.0,0,1,12-05-2014,29
4114,1964,master,married,79143.0,0,0,11-08-2012,2
1331,1977,graduation,single,35790.0,1,0,02-01-2013,54
2225,1977,graduation,divorced,82582.0,0,0,07-06-2014,54
9381,1978,graduation,married,66373.0,1,1,12-06-2013,57
6260,1955,master,together,82384.0,0,0,19-11-2012,55
10383,1966,graduation,divorced,70287.0,0,0,02-04-2013,30
7437,1988,graduation,single,27938.0,1,0,28-04-2014,31
8557,1982,graduation,single,47883.440288418205,1,0,17-06-2013,57
8375,1968,phd,married,55954.0,0,1,03-03-2014,63
6853,1982,master,single,75777.0,0,0,04-07-2013,12
3076,1975,graduation,together,66653.0,1,1,07-09-2012,18
1012,1952,graduation,single,61823.0,0,1,18-02-2013,26
6518,1951,phd,widow,67680.0,0,1,11-06-2013,8
4137,1948,graduation,together,70666.0,0,0,06-12-2013,29
8082,1971,graduation,married,25721.0,1,0,21-05-2013,75
1386,1967,graduation,together,32474.0,1,1,11-05-2014,0
4477,1958,graduation,together,69096.0,0,1,27-09-2013,4
1357,1970,graduation,together,74854.0,1,2,08-04-2013,90
1402,1954,master,married,66991.0,0,0,11-09-2012,1
6312,1959,graduation,married,65031.0,0,1,17-03-2013,29
8132,1975,phd,married,60631.0,1,1,05-04-2013,88
1050,1952,graduation,married,28332.0,0,0,30-04-2014,58
5846,1977,graduation,divorced,40246.0,1,0,19-12-2012,68
1859,1972,master,married,75251.0,0,0,27-08-2012,34
7503,1976,graduation,single,75825.0,0,0,12-10-2012,40
1618,1965,graduation,together,56046.0,0,0,02-01-2013,9
3332,1985,graduation,single,29760.0,1,0,29-08-2012,87
2261,1969,graduation,married,26304.0,1,0,23-06-2013,5
4119,1963,master,together,38620.0,0,0,11-05-2013,56
535,1987,graduation,divorced,81361.0,0,0,25-02-2014,18
5268,1960,graduation,married,29440.0,1,1,11-08-2013,95
273,1970,master,married,36138.0,1,1,16-07-2013,48
4452,1957,graduation,single,50388.0,0,1,28-05-2014,3
8504,1973,graduation,married,79593.0,0,0,12-05-2014,70
771,1967,graduation,together,54178.0,0,1,21-01-2014,79
8996,1957,phd,married,47883.440288418205,2,1,19-11-2012,4
9235,1957,graduation,single,47883.440288418205,1,1,27-05-2014,45
5798,1973,master,together,47883.440288418205,0,0,23-11-2013,87
11178,1972,master,single,42394.0,1,0,23-03-2014,69
2230,1970,phd,married,23626.0,1,0,24-05-2014,84
7516,1983,graduation,married,30096.0,1,0,22-05-2014,30
7247,1960,graduation,widow,47916.0,0,1,22-11-2012,72
11100,1972,graduation,divorced,51813.0,1,1,11-04-2013,37
3037,1983,phd,married,50150.0,0,0,20-06-2013,32
1016,1959,phd,single,34554.0,0,1,30-03-2014,43
4518,1979,graduation,together,85693.0,0,1,20-04-2013,59
9370,1945,phd,married,65846.0,0,0,17-05-2013,68
8908,1959,graduation,married,87195.0,0,0,08-05-2014,35
8373,1979,basic,together,24594.0,1,0,10-12-2013,94
7533,1964,graduation,married,49096.0,1,1,24-09-2013,15
2683,1969,graduation,married,52413.0,0,2,02-02-2013,56
3629,1978,graduation,single,38557.0,1,0,19-12-2012,17
10991,1960,master,married,89058.0,0,0,07-12-2012,18
5077,1979,graduation,together,77298.0,0,1,02-11-2013,46
7431,1991,phd,single,68126.0,0,0,10-11-2012,40
3267,1963,master,together,57288.0,0,1,25-06-2014,27
999,1991,graduation,single,86037.0,0,0,02-01-2013,95
9215,1980,phd,married,43974.0,1,0,12-12-2012,19
2286,1962,graduation,single,50785.0,1,1,10-09-2013,27
1592,1970,graduation,married,90765.0,0,0,24-01-2014,25
9862,1969,graduation,together,21918.0,1,0,14-11-2013,37
9805,1953,master,together,56129.0,0,1,20-06-2013,65
6205,1967,master,single,32557.0,1,0,24-02-2014,13
8442,1985,master,married,19510.0,2,0,04-09-2013,63
7386,1976,graduation,divorced,30992.0,1,0,22-04-2013,83
7215,1983,graduation,single,101970.0,0,0,12-03-2013,69
11071,1984,graduation,single,79607.0,0,0,21-04-2013,37
3381,1953,master,married,54348.0,1,1,08-06-2014,51
8268,1961,phd,married,47883.440288418205,0,1,11-07-2013,23
11051,1956,phd,together,77376.0,1,1,10-05-2014,72
8026,1952,graduation,married,62998.0,0,1,30-09-2013,10
433,1958,master,single,61331.0,1,1,10-03-2013,42
9597,1969,graduation,married,73448.0,0,0,10-02-2014,10
1295,1963,graduation,married,47883.440288418205,0,1,11-08-2013,96
5290,1964,phd,married,41551.0,1,1,14-08-2013,51
1685,1967,phd,together,62981.0,0,0,17-03-2013,21
5342,1976,basic,divorced,9548.0,1,0,08-08-2012,31
9579,1959,phd,married,33762.0,2,1,07-07-2013,61
7660,1973,phd,single,35860.0,1,1,19-05-2014,37
1461,1965,phd,divorced,36921.0,1,1,28-07-2013,74
821,1992,master,single,92859.0,0,0,19-10-2012,46
11084,1976,master,together,65104.0,0,1,14-11-2013,4
8690,1962,graduation,married,86111.0,0,0,19-04-2013,73
2937,1974,phd,single,68352.0,0,1,28-08-2013,47
9701,1988,graduation,together,41883.0,1,0,19-03-2013,13
9949,1976,graduation,married,59809.0,0,2,18-10-2012,36
10837,1975,graduation,married,23957.0,1,0,28-10-2012,47
3120,1981,graduation,together,38547.0,1,0,28-08-2013,49
4050,1966,master,married,49605.0,0,0,21-06-2014,65
3830,1953,master,married,59354.0,0,2,24-04-2014,59
7987,1969,graduation,married,65747.0,0,1,07-03-2014,96
92,1988,graduation,single,34176.0,1,0,12-05-2014,12
7055,1952,phd,together,61010.0,0,1,09-10-2012,57
10240,1949,graduation,together,69372.0,0,0,19-02-2013,10
3025,1958,graduation,single,49967.0,0,1,08-07-2013,4
9283,1978,graduation,single,60199.0,1,2,12-09-2013,49
9970,1977,graduation,together,55375.0,0,1,17-10-2013,3
2730,1955,graduation,single,80317.0,0,0,20-08-2013,64
2795,1958,master,single,30523.0,2,1,01-07-2013,0
9260,1945,phd,married,70356.0,0,0,05-11-2012,20
8182,1984,graduation,married,23228.0,1,0,05-01-2014,91
10095,1975,phd,divorced,74165.0,0,0,01-05-2013,9
8475,1973,phd,married,157243.0,0,1,01-03-2014,98
4370,1966,graduation,together,43482.0,2,1,13-11-2013,83
10573,1953,graduation,divorced,62551.0,0,0,18-11-2013,27
3712,1959,graduation,divorced,52332.0,0,0,28-08-2013,63
6637,1988,graduation,single,66951.0,0,0,02-11-2013,46
3152,1957,graduation,together,26091.0,1,1,25-02-2014,84
5610,1965,graduation,together,33456.0,1,1,21-04-2014,58
6460,1982,graduation,married,28718.0,1,0,13-07-2013,78
1349,1970,graduation,married,50447.0,2,0,21-04-2014,4
1880,1959,phd,together,53537.0,1,1,30-01-2014,17
641,1967,graduation,single,52074.0,0,1,04-04-2014,77
8717,1975,phd,married,80427.0,0,1,12-09-2012,56
10314,1948,phd,married,83837.0,0,0,16-12-2012,79
10854,1970,phd,married,38853.0,1,1,23-05-2014,90
10492,1959,graduation,together,38285.0,2,1,24-06-2014,96
7698,1976,phd,married,51650.0,0,1,11-05-2014,81
10562,1946,master,married,66835.0,0,0,28-09-2013,21
